Время,id отправителя,Имя,id получателя, Сообщение
00:01:12,HVePMxwhK-l,Виктория,,привпет Дима
00:01:12,HYlOoMecuWe,Valentina,,+
00:01:13,rNgDopx2tWe,Любовь,,+++++
00:01:13,HVePMxwhK-l,Виктория,,привпет Дима
00:01:13,HYlOoMecuWe,Valentina,,+
00:01:13,S8gQKQ-w5bl,Дилара,,+++
00:01:13,rNgDopx2tWe,Любовь,,+++++
00:01:13,HVePMxwhK-l,Виктория,,привпет Дима
00:01:13,HYlOoMecuWe,Valentina,,+
00:01:13,S8gQKQ-w5bl,Дилара,,+++
00:01:14,HVePMxwhK-l,Виктория,,привпет Дима
00:01:16,rNgDopx2tWe,Любовь,,+++++
00:01:16,HVePMxwhK-l,Виктория,,привпет Дима
00:01:16,HYlOoMecuWe,Valentina,,+
00:01:16,S8gQKQ-w5bl,Дилара,,+++
00:01:17,rNgDopx2tWe,Любовь,,+++++
00:01:17,HVePMxwhK-l,Виктория,,привпет Дима
00:01:17,rNgDopx2tWe,Любовь,,+++++
00:01:17,HYlOoMecuWe,Valentina,,+
00:01:17,HVePMxwhK-l,Виктория,,привпет Дима
00:01:17,rNgDopx2tWe,Любовь,,+++++
00:01:17,S8gQKQ-w5bl,Дилара,,+++
00:01:17,HYlOoMecuWe,Valentina,,+
00:01:17,HVePMxwhK-l,Виктория,,привпет Дима
00:01:17,S8gQKQ-w5bl,Дилара,,+++
00:01:17,HYlOoMecuWe,Valentina,,+
00:01:17,S8gQKQ-w5bl,Дилара,,+++
00:01:17,rNgDopx2tWe,Любовь,,+++++
00:01:17,HVePMxwhK-l,Виктория,,привпет Дима
00:01:17,HYlOoMecuWe,Valentina,,+
00:01:17,S8gQKQ-w5bl,Дилара,,+++
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,rNgDopx2tWe,Любовь,,+++++
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,HVePMxwhK-l,Виктория,,привпет Дима
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:26,HYlOoMecuWe,Valentina,,+
00:01:26,S8gQKQ-w5bl,Дилара,,+++
00:01:27,B8ehbr60O-e,Zinaida,,+++
00:01:28,BXxiOh7kc-g,Tatiana,,+
00:01:29,BXxiOh7kc-g,Tatiana,,+
00:01:29,BElJcL1Jo-l,Светлана,,+
00:01:29,HOlWeR1j9Zg,Сергей,,+++++++++++++
00:01:29,rHeUKnexobe,Надежда,,+
00:01:29,SZgXHVMeibg,YaloHa,,НН с вами
00:01:30,B3gQ43iTdbx,Нина Яр - Распаковщик смыслов,,Привет) давно меня с вами не было
00:01:30,BolG1_mxjWl,Андрей,,++++++
00:01:30,SGxbcwQlj-g,Михаил,,+
00:01:30,HVezGdQgjWg,Борис,,Всем привет!
00:01:30,S4lGSc7ytWx,Наталья Афанасьева,,+++
00:01:31,rmlrqXQaKZg,Владимир,,Огонь🔥🔥🔥
00:01:32,H1g15Cw6FZx,Денис Потехин,,+
00:01:34,HOed_S1R_bl,Любовь,,++++
00:01:38,SDeqRI7ejWg,Tatiаna_L,,+++
00:01:38,HOed_S1R_bl,Любовь,,++++
00:01:38,SDeqRI7ejWg,Tatiаna_L,,+++
00:01:38,HOed_S1R_bl,Любовь,,++++
00:01:38,SDeqRI7ejWg,Tatiаna_L,,+++
00:01:38,SDeqRI7ejWg,Tatiаna_L,,+++
00:01:40,HFxvzWmgiZg,Татьяна  Бунина,,ДОБРЫЙ! САМЫЙ ДОБРЫЙ ВЕЧЕР !!!🔥🔥🔥🧡
00:01:41,SdgQcxv3tbl,Elena,,"Добрый, эхо только у меня?"
00:01:42,SEl-X5Hec-l,Елена,,+
00:01:45,SEl-X5Hec-l,Елена,,+
00:01:45,SEl-X5Hec-l,Елена,,+
00:01:45,SEl-X5Hec-l,Елена,,+
00:01:46,SEl-X5Hec-l,Елена,,+
00:01:46,SEl-X5Hec-l,Елена,,+
00:01:46,SEl-X5Hec-l,Елена,,+
00:01:46,SEl-X5Hec-l,Елена,,+
00:01:47,SEl-X5Hec-l,Елена,,+
00:01:47,SEl-X5Hec-l,Елена,,+
00:01:47,SEl-X5Hec-l,Елена,,+
00:01:47,SEl-X5Hec-l,Елена,,+
00:01:49,SEl-X5Hec-l,Елена,,+
00:01:51,rkeGdvgm15-g,Di,,Что-то зависает
00:01:51,S-lH9sEn_We,Валентина,,++++
00:01:51,BolG1_mxjWl,Андрей,,Огонь🔥🔥🔥
00:01:51,SEl-X5Hec-l,Елена,,1
00:01:51,SOeaYOotcWx,Дмитрий,,Всем привет
00:01:52,BJexcqP7gsbe,Александр Юдин,,1
00:01:52,rXl4nKze5-g,Ольга,,Добрый вечер!
00:01:52,ByxXtoziF-e,Тамара,,1
00:01:52,SOeaYOotcWx,Дмитрий,,1
00:01:52,HGe-VSXlsbe,Арменуи,,1
00:01:53,r1ggxbumxsbe,Glover,,1
00:01:53,HfeCkDXgoWg,Ирина,,1
00:01:53,SGxbcwQlj-g,Михаил,,1
00:01:53,STxcNP7lo-l,Евгения,,1
00:01:53,rtzpsLbvqZg,Ольга,,1
00:01:53,BIg07dXlo-l,Владислав,,1
00:01:53,rUxtYz7goZe,Евгений,,1
00:01:53,rKgMdvmxobl,Ирина Владимировна,,1
00:01:53,SWxI3UvZc-e,Екатерина,,1
00:01:53,HblL047giWe,Жалгас,,1
00:01:55,BEep6SQeobg,Мария,,1
00:01:55,BEep6SQeobg,Мария,,1
00:01:55,HLeLsH7xj-g,Сергей,,1
00:01:55,roxUUuK4uZe,Elena,,1
00:01:56,SxeyoP7li-x,Husen,,1
00:01:57,SxeyoP7li-x,Husen,,1
00:01:58,B2xs-P7gs-l,Анна,,1
00:01:58,BogX-w7gsWx,Светлана,,1
00:01:59,S8gkZvmeiWg,Uljana,,1
00:02:00,S7GC31r1q-x,Татьяна,,+
00:02:02,BBg8KBXgj-l,Михаил,,1
00:02:04,H9xWowmxobl,Stepan,,+
00:02:05,HNx4STNA_We,Дмитрий,,+ Нижний ждёт инфу)
00:02:06,SXxvEHXgo-l,Юлия,,1
00:02:06,SxeyoP7li-x,Husen,,+
00:02:06,B8ehbr60O-e,Zinaida,,1
00:02:06,B7gQ5wQeibx,Ansty,,1
00:02:06,SJxF_vXxjbg,Михаил Блинов,,1
00:02:07,Skl46U7xs-x,Роман,,1
00:02:07,S8eSpHQgoZx,Светлана,,+
00:02:07,Bex7BwmgiWl,Копанецкая Анастасия,,+
00:02:07,HQlRLQ-k5Wx,Маргарита,,1
00:02:07,SxeyoP7li-x,Husen,,+
00:02:07,SXxvEHXgo-l,Юлия,,1
00:02:07,B8ehbr60O-e,Zinaida,,1
00:02:07,B7gQ5wQeibx,Ansty,,1
00:02:07,SJxF_vXxjbg,Михаил Блинов,,1
00:02:07,HBlSWd7eobg,Elena,,+
00:02:07,r1xSZUXgoWl,HeBuguMka,,1
00:02:07,HBlSWd7eobg,Elena,,+
00:02:07,r1xSZUXgoWl,HeBuguMka,,1
00:02:08,HBlSWd7eobg,Elena,,+
00:02:08,r1xSZUXgoWl,HeBuguMka,,1
00:02:08,HfgzPRt0c-x,Michael,,сколько будет длиться вебинар
00:02:08,HfgzPRt0c-x,Michael,,сколько будет длиться вебинар
00:02:09,HfgzPRt0c-x,Michael,,сколько будет длиться вебинар
00:02:09,HfgzPRt0c-x,Michael,,сколько будет длиться вебинар
00:02:10,HfgzPRt0c-x,Michael,,сколько будет длиться вебинар
00:02:16,Hje2MW305Wg,Ыквал,,1+
00:02:20,S4lGSc7ytWx,Наталья Афанасьева,,5
00:02:20,BDlt5m6zYWx,Ирина,,Вчера впервые увидела
00:02:22,S1gXpLmgoZg,Светлана,,1
00:02:22,HAfoovXgibe,Ден,,Дмитрий привет
00:02:53,r8l3O_Xejbg,Татьяна,,Добрый вечер!!!
00:02:55,S-lH9sEn_We,Валентина,,1
00:02:57,S-lH9sEn_We,Валентина,,1
00:02:59,S-lH9sEn_We,Валентина,,1
00:04:11,rilCpBaEt-e,Sergey,,11
00:04:13,SOeaYOotcWx,Дмитрий,,"эх, думал сразу на 100 + выйду. Придется поработать"
00:04:53,r0lCPdQls-l,Ekaterina,,1
00:04:54,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:04:56,r0lCPdQls-l,Ekaterina,,1
00:04:56,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:04:57,r0lCPdQls-l,Ekaterina,,1
00:04:57,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:04:57,r0lCPdQls-l,Ekaterina,,1
00:04:57,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:04:58,r0lCPdQls-l,Ekaterina,,1
00:04:58,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:04:59,r0lCPdQls-l,Ekaterina,,1
00:04:59,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:00,r0lCPdQls-l,Ekaterina,,1
00:05:00,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:01,r0lCPdQls-l,Ekaterina,,1
00:05:01,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:01,r0lCPdQls-l,Ekaterina,,1
00:05:01,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:01,r0lCPdQls-l,Ekaterina,,1
00:05:01,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:03,r0lCPdQls-l,Ekaterina,,1
00:05:03,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:04,r0lCPdQls-l,Ekaterina,,1
00:05:04,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:06,r0lCPdQls-l,Ekaterina,,1
00:05:06,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:07,r0lCPdQls-l,Ekaterina,,1
00:05:07,HIloReX1cZx,Галина,,"Вечер добрый, я с вами, но не в 1 раз"
00:05:18,SrlkIuXlibx,Евгения,,1
00:05:19,BweBFL_W9Zl,Ринат,,Тюмень
00:05:20,Btf22510u-x,Александр,,Воронеж
00:05:21,Bex7BwmgiWl,Копанецкая Анастасия,,Краснодар
00:05:22,SOeaYOotcWx,Дмитрий,,1 только вперёд
00:05:23,Sxlalvlw9Zg,Владимир,,Пермь.
00:05:24,Hrx4fXgxcbl,Игорь,,Москва
00:05:24,ByxiW-w3Ybx,Сергей,,Курск
00:05:25,rrNe3wmxsWl,Vsemil Petrov,,"София, Болгария"
00:05:26,SJxF_vXxjbg,Михаил Блинов,,Минск
00:05:27,BOxRQU7ejWe,СергейО,,Томск
00:05:27,BXxiOh7kc-g,Tatiana,,Самара
00:05:28,BolG1_mxjWl,Андрей,,"Абаза, Хакасия"
00:05:30,B3gQ43iTdbx,Нина Яр - Распаковщик смыслов,,"Привет Дмитрий. Давно меня не было с вами, даже соскучилась"
00:05:30,B1l0sFy1tWe,Александр,,ДОБРЫЙ ВЕЧЕР
00:05:31,SVefSWw2Ybg,Павел Гильманов Pavel_Stavro,,Волгоград
00:05:32,BfgDhL7gsZg,Венера,,Ташкент
00:05:32,HfeCkDXgoWg,Ирина,,"Ковров,бухгалтер"
00:05:32,rlxZUSJjdZg,Маликахон,,Таджикистан
00:05:32,BSeht-Qls-g,Иван,,"Ростов на Дону 
Безработный"
00:05:32,SwxSt_qT_bg,Владимир,,Наро-Фоминск
00:05:32,SVlPjvmxoZe,Олеся,,Нижний Новгород Авитолог
00:05:34,BkxePWQ36tZx,Игорь,,Москва
00:05:35,BDlt5m6zYWx,Ирина,,"Котлас, Арх.область"
00:05:36,HTxXurQxjWe,Рита,,1
00:05:38,S3eSHvIXY-l,investoRus,,Аланья. Финансовый советник
00:05:38,H1eJhvQesbx,Анна,,"Недвижимость 
Спб 
Москва 
Пхукет"
00:05:39,HMxc68Qgs-e,Ольга,,"Ольга, Краснодар, я ипотечный брокер"
00:05:40,BweBFL_W9Zl,Ринат,,Нефтегазовая отрасли
00:05:40,Hhldu4jG9bx,Сергей,,Тюмень
00:05:41,S7GC31r1q-x,Татьяна,,техспец Геткурс
00:05:43,r2l3AJPhKZe,ОЛЬГА,,"Прокопьевск, пенсионерка"
00:05:44,ruxHgbwnKWx,Viktoria Bak,,"Будапешт, предприниматель (продажа фруктов)"
00:05:45,BogX-w7gsWx,Светлана,,"Казахстан, Шымкент, ЭНЕРГОЦЕЛИТЕЛЬ"
00:05:46,r4llUxQgsWx,Irina,,"Я вроде оплатила что то , не помню, была в поездке 990р. Я смогу потом запись получить?"
00:05:47,S8x5gImxsbl,Александр,,Живу в Сочи. Таксопарк в Магнитогорске и Челябинске
00:05:47,HflP8CH_KZg,Полина,,"Москва, а запись будет? Я риелтор и страховщик"
00:05:49,BolG1_mxjWl,Андрей,,"Добрый вечер, Дмитрий"
00:05:49,rNgDopx2tWe,Любовь,,пенсионерка
00:05:50,SrlkIuXlibx,Евгения,,Орел
00:05:51,BkxePWQ36tZx,Игорь,,Строитель
00:05:52,HTxXurQxjWe,Рита,,Белгород
00:05:53,Hje2MW305Wg,Ыквал,,Бишкек.Кыргызстан
00:05:53,HGe-VSXlsbe,Арменуи,,Россия Сочи
00:05:54,B3gQ43iTdbx,Нина Яр - Распаковщик смыслов,,Красноярск привет
00:05:55,HllMMLYt_Ze,Олег,,"как сменить качество видео, все тормозит"
00:05:56,SxeyoP7li-x,Husen,,Грозный
00:05:57,rZlfRbtnYWg,Ольга Фёдоровна,,Я из Красной поляны
00:05:58,HrlVzIXgoWe,Павел,,"Севастополь, тревел-эксперт"
00:05:59,SWxI3UvZc-e,Екатерина,,"Горно-Алтайск, преподаватель университета"
00:06:00,SaxEmFtUqZl,Сергей Кудинов,,Якутск
00:06:00,SVefSWw2Ybg,Павел Гильманов Pavel_Stavro,,"Волгоград, обучаю продажам, ускоряю бизнес и мышление"
00:06:01,SXgwv5z3uWl,Корж Ирина Федоровна,,Темрюк маляр
00:06:02,HOed_S1R_bl,Любовь,,Крым. безработная
00:06:03,BolG1_mxjWl,Андрей,,эксперт по нейросетям благодаря Дмитрию
00:06:03,rPgpOzcTc-l,Ильсияр,,"Привет из Самары, пенсионер"
00:06:04,BUeaLye0_We,Владимир,,Добрый вечер!
00:06:05,HblL047giWe,Жалгас,,"Казахстан, город Уральск"
00:06:06,SGxbcwQlj-g,Михаил,,Краснодар
00:06:06,SyleDGKQliZl,Виктор,,Крым  Интернет-предприниматель
00:06:07,BSgu3wXej-e,Евген,,Новосиб. Доставка пп питания
00:06:08,S4lGSc7ytWx,Наталья Афанасьева,,Г Новотроиц к Оренбургская область инвалид на пенсии по инвалидности дома
00:06:16,HTxXurQxjWe,Рита,,Пенсионер
00:06:18,S-lH9sEn_We,Валентина,,Тирасполь. Приднестровье.  пенсионерка.
00:06:20,HfxQekZki-l,Александр,,Гродно Беларусь. ИП
00:06:22,SxeyoP7li-x,Husen,,"Пенсионер, работал компьютерщиком"
00:06:26,HwgO2zZucZl,Виталий,,"строительство 
восстановление Мариуполя"
00:06:27,BQxffyMsqbl,Владимир,,Ростов-на-Дону
00:06:33,ByxXtoziF-e,Тамара,,"Москва, пенсионер"
00:06:37,BJx5cEhbc-l,Ruslan,,Иваново
00:06:41,Bugy_-w3t-e,Админ,,"Экономист, Психолог, ИИ агенты, очень нравиться и хочу переключиться на AI полностью"
00:06:44,SOeaYOotcWx,Дмитрий,,"Из Мариуполя, сейчас в Краснодаре. Занимаю продвижением блога, в том числе активно использую AI. Пришёл за инсайтами))"
00:06:45,HHlwIk55cWx,Инна,,Барнаул
