Время,id отправителя,Имя,id получателя, Сообщение
00:00:32,S5eQZPmxibe,Елена,,всем привет.
00:00:33,S4lGSc7ytWx,Наталья Афанасьева,,Дмитрий  ледовскии здесь будет?
00:00:38,S2xMVWQxo-g,Евгений,,+
00:00:38,r7lhY6hRFbx,Александра,,++
00:00:38,HrllNYusPZx,Vetschna,,+++
00:00:39,r-zPvEOb5We,Германн,,+
00:00:39,HWxHZq_Wj-e,Сергей,,+
00:00:41,SVfiqudbsZg,Рафаил,,+
00:00:41,HFlBmq_WiWe,Татьяна,,+
00:00:41,r7x3ewmejbl,Алла,,+
00:00:41,rHlxQv1fFZx,Сергей,,+
00:00:41,ByxXtoziF-e,Тамара,,+
00:00:42,ByxiW-w3Ybx,Сергей,,+
00:00:42,S5eQZPmxibe,Елена,,+
00:00:42,BQl7D2XXtbe,Надежда,,++++
00:00:43,HkggYNloa9be,АЛЕКСАНДР,,+++
00:00:43,HblL047giWe,Жалгас,,+
00:00:44,rolaIcsRF-e,Мария,,+
00:00:45,BPlP6D26YZg,Alexnov,,+
00:00:45,BogX-w7gsWx,Светлана,,++
00:00:45,B2lXLvXeobg,Виктория Музыченко,,"Дима, привет! слышно, видно"
00:00:46,B5gfU8Qxj-x,Наталья,,"Добрый вечер, +"
00:00:47,HOlWeR1j9Zg,Сергей,,+==
00:00:47,HzeeMOmxsZx,Ирина,,+
00:00:47,SyxPSu8-jbe,Дмитрий,,+
00:00:48,BDlt5m6zYWx,Ирина Екимова,,+
00:00:48,B8ehbr60O-e,Зинаида,,+
00:00:48,Hge1xddbo-l,Надежда,,+++
00:00:48,H5lUSyNej-g,Виталий,,+
00:00:51,rNl2mFQeiWg,Анатолий,,+
00:00:51,Hhldu4jG9bx,Сергей,,+++
00:00:52,HZxV5DXgoWe,Наталья Петрова,,+
00:00:52,Bbl9KD2giWg,Ольга,,+
00:00:52,BAxx7-cpd-e,Мария,,++
00:00:52,SNxTEdOTK-g,Денис Потехин,,+👋
00:00:52,rNgDopx2tWe,Любовь,,++
00:00:53,rGgB-D7goZg,кирилл,,+
00:00:53,rgloDKdZiWx,Юлия,,+++
00:00:53,BpeTpuu-s-e,Ильгиз,,+
00:00:53,BEMSmEnpKWl,Светлана,,+
00:00:53,Sjg0OZBesZg,Людмила Овсянникова,,+
00:00:54,rye7EX2aKWg,Валентина,,+
00:00:54,HHxaz4pFK-g,Анастасия,,+++
00:00:58,SeMoE3NxsWg,Корнилов Алексей,,+
00:00:58,SSlVyo7-i-x,Маъруф,,+++
00:00:58,B-edO0QlsWe,Андрей,,+
00:00:58,SzbP6UXgj-l,Сергей,,Здравствуйте
00:00:59,SylwyzyyiZx,Oдилхон,,+++
00:00:59,Hbx6wlunFbe,светлана,,+++
00:00:59,BQl7D2XXtbe,Надежда,,Дмитрий все огонь!!!!
00:01:02,S3xTDSfk9Wx,Александр,,+
00:01:02,HQlRLQ-k5Wx,Маргарита,,+
00:01:02,B8ehbr60O-e,Зинаида,,+
00:01:03,Hugz2N1h9Zg,Игооь,,+
00:01:03,HneZXD5et-e,Александр,,+++
00:01:05,S4lGSc7ytWx,Наталья Афанасьева,,±+!+ Ура ура ура!!!
00:01:06,BmeuExxxj-g,Светлана,,+
00:01:07,BtlWkLuWo-e,Елена,,+++
00:01:09,S4xEtl4gjbe,Игорь,,"Всем добрый вечер! Здравствуйте!
🔥🔥🔥🔥🔥🔥🔥"
00:01:09,SdgQcxv3tbl,Elena,,+
00:01:09,B_ltYwb1tWx,Gennadiy,,+
00:01:09,HLlEw__-sbg,Борис,,Ждем чудес!
00:01:11,BplX9Jwnt-e,Наталья,,"Ждать опоздавших - не уважать тех, кто пришёл вовремя!"
00:01:13,BBeVuq_WjZx,Radiy,,Дискотека
00:01:14,HZlmAgM3YZg,Дмитрий,,Здравствуйте
00:01:16,HYelX9Nhubg,Марина,,Прекрасно слышно
00:01:32,BLl10DGZsZx,Valerii,,+++
00:01:32,Btf22510u-x,Александр,,+
00:01:32,SCggRMDnF-e,Жанна,,огонь
00:01:32,BolG1_mxjWl,Андрей,,Доброго всем вечера
00:01:32,S5eQZPmxibe,Елена,,огни
00:01:33,BQl7D2XXtbe,Надежда,,Была!!!!
00:01:33,rCeWxCk0YWl,Светлана,,1
00:01:33,SVxVo5XZsWx,Дмитрий,,+
00:01:33,rye7EX2aKWg,Валентина,,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
00:01:33,HkemZufbobx,Ольга,,виснет
00:01:43,S4xEtl4gjbe,Игорь,,🔥🔥🔥🔥🔥🔥🔥
00:01:43,rmlrqXQaKZg,Владимир,,Огонь🔥🔥🔥
00:01:43,Sfx6RWPhFWl,Александра,,🔥
